field,project,parameter,headline,caveat,basis,source,confidence,url,doi,sentence,source_quote,pdf
Macroeconomics,house_prices,Effect of monetary policy on house prices,"a 1.2% fall in house prices per 1-percentage-point policy rate rise, peaking after two years","correcting for publication bias alone gives 0.23%, but conditioning on best practice offsets it","1,555 estimates from 237 impulse responses in 37 studies","Ehrenbergerova et al. 2023, IMF Economic Review",high,https://meta-analysis.cz/house_prices/,https://doi.org/10.1057/s41308-022-00185-5,"Effect of monetary policy on house prices: corrected for publication bias and misspecification, a 1.2% fall in house prices per 1-percentage-point policy rate rise, peaking after two years (correcting for publication bias alone gives 0.23%, but conditioning on best practice offsets it), based on 1,555 estimates from 237 impulse responses in 37 studies (Ehrenbergerova et al. 2023, IMF Economic Review).",As the bottom line of our analysis we compute the impulse response implied by the entire literature but conditional on the absence of publication bias and potential misspecifications. ... The mean maximum corrected semi-elasticity is -1.2 ... Our results suggest that a one-percentage-point increase in the policy rate is on average associated with a maximum decrease of 1.2% in house prices after two years.,https://meta-analysis.cz/house_prices/house_prices2.pdf
Macroeconomics,reforms,Effect of structural reforms on economic growth,"reforms in transition countries cost growth in the short run but raise it strongly in the long run, and that holds after correcting for publication bias",,60 studies with 537 estimates,"Babecky and Havranek 2014, Economics of Transition",high,https://meta-analysis.cz/reforms/,https://doi.org/10.1111/ecot.12029,"Effect of structural reforms on economic growth: reforms in transition countries cost growth in the short run but raise it strongly in the long run, and that holds after correcting for publication bias, based on 60 studies with 537 estimates (Babecky and Havranek 2014, Economics of Transition).","Our results show that an average reform caused substantial costs in the short run, but had strong positive effects on long-run growth. ... The findings hold even after correction for publication bias and misspecifications present in some primary studies. ... In total, 60 studies issued since 1996 are included ... they contain 537 empirical estimates",https://meta-analysis.cz/reforms/reforms2.pdf
Macroeconomics,eis,Elasticity of intertemporal substitution in consumption,0.3-0.4,micro estimates for asset holders; macro mean zero,"2,735 estimates from 169 published studies","Havranek 2015, Journal of the European Economic Association",high,https://meta-analysis.cz/eis/,https://doi.org/10.1111/jeea.12133,"Elasticity of intertemporal substitution in consumption: corrected for publication bias, 0.3-0.4 (micro estimates for asset holders; macro mean zero), based on 2,735 estimates from 169 published studies (Havranek 2015, Journal of the European Economic Association).",The corrected mean of micro estimates of the EIS for asset holders is around 0.3-0.4.,https://meta-analysis.cz/eis/eis2.pdf
Macroeconomics,sigma,Elasticity of substitution between capital and labor,0.3,best-practice specification; the mean reported estimate is 0.9,"3,186 estimates from 121 studies","Gechert et al. 2022, Review of Economic Dynamics",high,https://meta-analysis.cz/sigma/,https://doi.org/10.1016/j.red.2021.05.003,"Elasticity of substitution between capital and labor: the meta-analytic estimate is 0.3 (best-practice specification; the mean reported estimate is 0.9), based on 3,186 estimates from 121 studies (Gechert et al. 2022, Review of Economic Dynamics).","The mean elasticity conditional on the absence of publication bias, disaggregated data, and inclusion of information from the first-order condition for capital is 0.3.",https://meta-analysis.cz/sigma/sigma2.pdf
Macroeconomics,excess_sensitivity,Excess sensitivity of consumption to anticipated income changes,"0.11, against a mean reported estimate of 0.37",,"about 3,000 estimates from 144 studies","Havranek and Sokolova 2020, Review of Economic Dynamics",medium,https://meta-analysis.cz/excess_sensitivity/,https://doi.org/10.1016/j.red.2019.05.004,"Excess sensitivity of consumption to anticipated income changes: the estimate corrected for aggregation and publication bias is 0.11, against a mean reported estimate of 0.37, based on about 3,000 estimates from 144 studies (Havranek and Sokolova 2020, Review of Economic Dynamics).","When corrected for the bias due to aggregation and the bias due to publication selection, the literature yields a mean excess sensitivity of merely 0.11.",https://meta-analysis.cz/excess_sensitivity/excess_sensitivity_2.pdf
Macroeconomics,inflation,Optimal long-run inflation rate,about 0.6% per year,calibration-dominated model literature,777 estimates from 116 primary studies,Opatrny et al. 2026,high,https://meta-analysis.cz/inflation/,,"Optimal long-run inflation rate: the meta-analytic estimate is about 0.6% per year (calibration-dominated model literature), based on 777 estimates from 116 primary studies (Opatrny et al. 2026).","Across publication-selection and selection-on-significance diagnostics that are applicable in this calibration-dominated corpus, the literature points to an optimum of roughly 0.6 percentage points per year, well below the two-percent targets commonly used by advanced-economy central banks.",https://meta-analysis.cz/inflation/inflation.pdf
Macroeconomics,price_puzzle,The price puzzle (prices rising after monetary tightening),"it disappears once publication and misspecification biases are corrected, and prices fall instead, bottoming out 0.33% below baseline six months after a 1-percentage-point rate rise",,"about 1,000 estimates from 70 studies","Rusnak et al. 2013, Journal of Money, Credit and Banking",high,https://meta-analysis.cz/price_puzzle/,https://doi.org/10.1111/j.1538-4616.2012.00561.x,"The price puzzle (prices rising after monetary tightening): it disappears once publication and misspecification biases are corrected, and prices fall instead, bottoming out 0.33% below baseline six months after a 1-percentage-point rate rise, based on about 1,000 estimates from 70 studies (Rusnak et al. 2013, Journal of Money, Credit and Banking).","After controlling for both publication and misspecification biases, the price puzzle is not present and prices bottom out 6 months after a 1 percentage point increase in the interest rate. The maximum decrease in the price level reaches 0.33% and is statistically significant at the 5% level.",https://meta-analysis.cz/price_puzzle/price_puzzle2.pdf
Macroeconomics,lags,Transmission lag of monetary policy to prices,"29 months on average, but 25-50 months in developed economies against 10-20 in post-transition ones; the factor explaining that gap is financial development, with greater development meaning slower transmission",prices bottom out 0.9% below baseline after a 1-percentage-point hike,67 published studies,"Havranek and Rusnak 2013, International Journal of Central Banking",high,https://meta-analysis.cz/lags/,,"Transmission lag of monetary policy to prices: the meta-analytic estimate is 29 months on average, but 25-50 months in developed economies against 10-20 in post-transition ones; the factor explaining that gap is financial development, with greater development meaning slower transmission (prices bottom out 0.9% below baseline after a 1-percentage-point hike), based on 67 published studies (Havranek and Rusnak 2013, International Journal of Central Banking).","The average transmission lag is twenty-nine months, and the maximum decrease in prices reaches 0.9 percent on average after a 1-percentage-point hike in the policy rate. Transmission lags are longer in developed economies (twenty-five to fifty months) than in post-transition economies (ten to twenty months). We find that the factor most effective in explaining this heterogeneity is financial development: greater financial development is associated with slower transmission.",https://meta-analysis.cz/lags/lags2.pdf
Macroeconomics,substitution,Why intertemporal substitution varies across countries,income and asset market participation explain most of the cross-country heterogeneity,,"2,735 estimates from 169 published studies covering 104 countries","Havranek et al. 2015, Journal of International Economics",high,https://meta-analysis.cz/substitution/,https://doi.org/10.1016/j.jinteco.2015.01.012,"Why intertemporal substitution varies across countries: the meta-analytic finding is income and asset market participation explain most of the cross-country heterogeneity, based on 2,735 estimates from 169 published studies covering 104 countries (Havranek et al. 2015, Journal of International Economics).",income and asset market participation are the most effective factors in explaining the heterogeneity,https://meta-analysis.cz/substitution/substitution2.pdf
Micro and experimental economics,beauty,Beauty premium in earnings,1.1% (95% CrI -0.8% to 3.0%),controlling for cognitive ability; large only for sex workers,"1,159 estimates in 67 studies",Irsova et al. 2025,high,https://meta-analysis.cz/beauty/,,"Beauty premium in earnings: the meta-analytic estimate is 1.1% (95% CrI -0.8% to 3.0%; controlling for cognitive ability; large only for sex workers), based on 1,159 estimates in 67 studies (Irsova et al. 2025).","Second, controlling for cognitive ability renders the premium small (mean = 1.1%; 95% CrI = -0.8%, 3.0%) for all occupations except sex workers, where appearance is a direct input.",https://meta-analysis.cz/beauty/beauty.pdf
